"logFC.day16"	"logFC.day18"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-211137"	-1.75269139367187	-3.50225988121085	9.76169197300405	58.4260510219534	3.00588746254543e-16	5.49144544019506e-14	"gene-211137"
"gene-54922"	-0.639885355623934	-1.05148924881904	5.57851977828162	58.0111721776233	3.55121087445389e-16	6.37773397045991e-14	"gene-54922"
"gene-137445"	5.20801823573685	8.23186877661324	3.72986032306526	57.8213360289677	3.83362341807849e-16	6.77017895632662e-14	"gene-137445"
"gene-6223"	-0.839748196638262	-1.49754910267928	8.58017285807011	57.6187205947102	4.16055701347199e-16	7.22709214995888e-14	"gene-6223"
"gene-228519"	-0.603129722467037	-1.15548597884561	8.03644792818156	57.0280215623999	5.28683974819445e-16	9.035379672882e-14	"gene-228519"
"gene-405508"	0.914370719852027	1.38400350304231	5.82389392541082	56.8236482945172	5.74570068723299e-16	9.56637622139366e-14	"gene-405508"
"gene-27378"	-1.06284082617779	-1.60087542539293	6.90900523020437	56.8098542486129	5.77810568298598e-16	9.56637622139366e-14	"gene-27378"
"gene-64360"	-0.855514212474222	-1.61899246688359	9.52585834605217	56.2868284235377	7.1557744897433e-16	1.16650133066646e-13	"gene-64360"
"gene-59464"	-0.405725618732035	-0.783469148234802	6.40407414431349	56.2125094305866	7.37724843322406e-16	1.16960947272653e-13	"gene-59464"
"gene-199509"	-0.65048132718922	-0.971394264150396	5.91971059746445	56.2064524958977	7.39560538624743e-16	1.16960947272653e-13	"gene-199509"
"gene-347717"	-0.442887837143446	-0.825772541663455	4.97974601055695	55.9491593018152	8.22026439519139e-16	1.28091061075659e-13	"gene-347717"
"gene-106467"	-0.587349759399968	-1.11523588712129	5.46295166835032	55.8057164528957	8.72039339739757e-16	1.33321864569307e-13	"gene-106467"
"gene-269228"	-0.708774672334548	-1.15849589297595	6.9989480372167	55.7321393958302	8.98893190130725e-16	1.33321864569307e-13	"gene-269228"
"gene-93305"	-0.837831764937092	-1.19560262997174	8.23957253985289	55.731143464511	8.99262442058584e-16	1.33321864569307e-13	"gene-93305"
"gene-289528"	-1.28883129449492	-2.22446692707077	8.54520300992496	55.7132469655369	9.05924334559275e-16	1.33321864569307e-13	"gene-289528"
"gene-84721"	-1.47762235553799	-1.91021729761967	8.53062976612786	55.4503910122407	1.00981611244416e-15	1.46575500376141e-13	"gene-84721"
"gene-150499"	-0.798396844585148	-0.944245725931338	3.92379400992923	55.2787979207504	1.08415892032166e-15	1.55239836753086e-13	"gene-150499"
"gene-89268"	-1.34380097499048	-1.44489695383428	3.76711395832859	55.1165577811754	1.15961456355949e-15	1.63830345539685e-13	"gene-89268"
"gene-152165"	-1.13300271447692	-1.59401931088041	7.37939876206735	54.8191300466369	1.31224103390791e-15	1.82954026253792e-13	"gene-152165"
"gene-218053"	-0.811022520082313	-1.35660672725087	8.21478231964114	54.7649347063916	1.34219859823552e-15	1.84700472037708e-13	"gene-218053"
"gene-326993"	-1.45226407035227	-2.75148069843309	7.47951430604078	54.4357149517955	1.53989050323277e-15	2.07257263683347e-13	"gene-326993"
"gene-38083"	3.43866315907372	4.86256178151038	6.79066166094453	54.4274263860206	1.54523629963991e-15	2.07257263683347e-13	"gene-38083"
"gene-34578"	-0.462977106551922	-0.59915446654221	7.874495972709	54.3267547098352	1.61170592634093e-15	2.13470449943856e-13	"gene-34578"
"gene-149557"	-1.45187780709871	-2.89753592764005	7.2853923941798	54.1815280988922	1.71279970497878e-15	2.24059576221669e-13	"gene-149557"
"gene-215727"	-1.09458158960332	-2.8041391124354	6.43144394370109	53.6525573679419	2.13939062061517e-15	2.75107963455185e-13	"gene-215727"
"gene-270896"	-0.939047118429826	-1.36260074061427	7.28237034206849	53.6353602484181	2.15496045364103e-15	2.75107963455185e-13	"gene-270896"
"gene-367758"	-1.33093930037868	-2.22296842732014	8.59709007647797	53.5315890839409	2.25141092370492e-15	2.83999406518778e-13	"gene-367758"
