"logFC.day16"	"logFC.day18"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-415196"	0.351744866457236	0.833005355125894	-1.17871746042699	2.32795063641435	0.104214797793627	0.16395540008593	"gene-415196"
"gene-396889"	1.19522385781506	1.71862183575162	2.70765216891939	2.3278128850157	0.104228347959496	0.16395540008593	"gene-396889"
"gene-185409"	-0.420799516922434	0.817757394660244	0.0718663700989045	2.32577121284185	0.104429392726343	0.164247268120578	"gene-185409"
"gene-45257"	0.0921440155556155	0.815646303931179	-1.16541916126123	2.32453270169568	0.104551543473242	0.164414982879559	"gene-45257"
"gene-37358"	-0.253788421174869	0.0025303673903824	4.88149898141933	2.32249378898687	0.104752954768827	0.16470727240399	"gene-37358"
"gene-162956"	0.0186304893491457	0.275645887604017	3.77609865556413	2.31828655834727	0.105169819165076	0.16533819048563	"gene-162956"
"gene-271117"	0.0335943678092743	-0.640720348547513	2.39249648127881	2.31588132223367	0.105408900772216	0.165689469304613	"gene-271117"
"gene-32893"	0.175897279664952	0.190301160790692	8.26661276728294	2.31561444131308	0.10543546319489	0.165706640168059	"gene-32893"
"gene-172355"	-0.08244443997372	0.073348428155042	6.82007714552413	2.31346684709388	0.105649461391394	0.166018343897852	"gene-172355"
"gene-44353"	0.130464170221013	0.207136716584517	4.39360956012309	2.31076553338212	0.105919267949398	0.166417639856439	"gene-44353"
"gene-254402"	0.0387111777424044	0.368879042824286	5.42200227860672	2.30504273703768	0.106493196237349	0.167294574845211	"gene-254402"
"gene-384800"	-0.0709752008344276	0.502027428696481	4.73701585625594	2.30345636768615	0.106652854073587	0.167520551699337	"gene-384800"
"gene-358338"	-0.457603692508523	-1.53465358774245	5.58251253812561	2.30312910519744	0.106685821464181	0.167547497292792	"gene-358338"
"gene-312544"	-0.287111328188538	0.0129878176810012	4.43430358652153	2.30296245283216	0.106702613513567	0.167549035683129	"gene-312544"
"gene-224800"	-0.314011311139552	-0.917277733944366	-0.652629852558213	2.30278028628396	0.106720971887524	0.167553032763402	"gene-224800"
"gene-409806"	-0.735396181819023	-1.42744407039939	-0.405287086809335	2.30156736368548	0.106843290376497	0.167720222937683	"gene-409806"
"gene-172175"	0.14406345582969	-0.317007881775623	3.85294916365932	2.30080736865946	0.106920006155966	0.167815788065266	"gene-172175"
"gene-184287"	0.215126217448588	0.214607067166678	5.04090258288981	2.30053112839301	0.106947904528841	0.167834715104799	"gene-184287"
"gene-352409"	-0.173059475929903	-0.112507609732911	5.51107373717603	2.29909638630236	0.107092923771798	0.168037408601506	"gene-352409"
"g9726"	0.0477886182769219	0.458535955041956	0.764612587066617	2.29863976685948	0.107139119729949	0.168085003354833	"g9726"
"gene-190463"	-0.0232285582525565	-0.507135239323687	4.83455038551416	2.29763488700773	0.107240854905962	0.168219703713335	"gene-190463"
"gene-408597"	-0.215615739683528	0.489860558413105	2.21101454317286	2.297463841459	0.107258181616003	0.168221979337355	"gene-408597"
"gene-140316"	0.238301571164781	0.159179553013197	7.16513055764949	2.29686039114101	0.107319333348805	0.168292978565034	"gene-140316"
"g5814"	0.347085102055741	0.371850333479765	1.09805532534351	2.29647387366369	0.107358520583308	0.168310696486269	"g5814"
"gene-59043"	0.0797048027162203	0.198164154633011	6.19998953115518	2.29643561082884	0.107362400674848	0.168310696486269	"gene-59043"
"gene-171305"	-0.030438333166491	0.403898202376953	2.39399682107863	2.29627122171394	0.107379072398914	0.168311930641848	"gene-171305"
"gene-243559"	-1.03576745354141	-0.886113924002156	-0.751332871596033	2.294889177936	0.107519339099985	0.168506865419825	"gene-243559"
"gene-355970"	-0.341706824617724	-0.37036214111634	2.24906545169946	2.2946104253871	0.107547653082207	0.168526313525446	"gene-355970"
"gene-380159"	0.160596708169638	-0.0882153994704574	6.77132319712018	2.29287260838923	0.107724342445087	0.168778224537652	"gene-380159"
"gene-374239"	0.203139720497628	0.125054203921808	5.61271690241618	2.29230076723951	0.107782548423334	0.168844453443768	"gene-374239"
"gene-241515"	-0.28889609819997	-0.0947277710064402	4.08844700452808	2.29084566221676	0.107930804659277	0.169033201281637	"gene-241515"
"gene-38062"	-0.262725332320572	-0.359935826004938	3.07805683463893	2.29075932247004	0.107939608124343	0.169033201281637	"gene-38062"
"gene-348386"	0.0461901414013432	-0.852805565298589	3.22849911028686	2.29059715731894	0.107956144970498	0.169033201281637	"gene-348386"
"gene-55625"	-0.398849200808024	-0.163959427808772	3.5311794508003	2.29049222786358	0.107966846571737	0.169033201281637	"gene-55625"
"gene-16157"	-0.827841211862093	-0.455719269957683	2.5470040314595	2.28817595888974	0.108203356733016	0.16937845589349	"gene-16157"
"gene-73579"	0.163136517621069	0.238156700829549	3.65539252349136	2.28759374963213	0.108262888618762	0.169438999550194	"gene-73579"
"gene-39216"	-0.0235915458323032	-0.20872572154886	6.41743640949737	2.28748496961213	0.108274015284481	0.169438999550194	"gene-39216"
"gene-208245"	0.771581077084908	0.888685500259329	1.39302237660312	2.28466862272418	0.108562496559644	0.169865359354104	"gene-208245"
"gene-219100"	0.533848947584749	0.925715456009511	-0.501628098373916	2.28252889536993	0.108782197875945	0.170183990653111	"gene-219100"
"gene-300188"	-0.0704221715680698	-0.81127545579155	8.5929477353881	2.28209780393092	0.108826516318111	0.170228191158355	"gene-300188"
"g5083"	0.651765424157935	0.940851957515593	-0.672276798022575	2.28046519468355	0.108994524964578	0.170465828269323	"g5083"
"gene-188806"	-0.421200781779047	-0.190874810990264	1.97214165488326	2.27947690501094	0.109096357163414	0.170588779521684	"gene-188806"
"gene-204341"	0.321459417705687	0.455172418132257	2.41415160067219	2.27938979307907	0.109105337751836	0.170588779521684	"gene-204341"
"gene-307555"	0.386011984635081	0.585810644412178	2.17858684471874	2.27784967253513	0.109264237911379	0.170812019018733	"gene-307555"
"gene-237872"	0.247156588733438	-0.0181784796777085	1.61988774805784	2.27722191292609	0.109329074352239	0.170886640487515	"gene-237872"
"gene-336380"	0.469346524170474	-0.327882656410864	-0.173203372859079	2.27707526314872	0.109344226359509	0.170886640487515	"gene-336380"
"gene-407735"	0.567529183155601	1.45805112117686	0.273325657368044	2.27618182711404	0.109436583637398	0.17100575729566	"gene-407735"
"gene-69969"	0.584738464110262	0.947631469326878	-1.19328358559163	2.27554272513883	0.109502698688327	0.171068253746346	"gene-69969"
"gene-399601"	1.1366791918193	-0.0611656941843884	7.19978210715779	2.27548310974915	0.109508867984283	0.171068253746346	"gene-399601"
"gene-163539"	-0.210393554493835	-0.836562590419267	6.10247062695769	2.27511986129631	0.109546466438249	0.171101762732855	"gene-163539"
"g14674"	0.783514202899123	0.480390524567778	-0.0167580594423486	2.27490449779474	0.10956876413933	0.171111366959519	"g14674"
"gene-7799"	1.16604541275232	0.748147795779786	-1.50707709703264	2.27456559393181	0.109603862041223	0.171140955229709	"gene-7799"
"gene-114667"	-1.22889149900401	-0.0699891950316193	1.17103129104723	2.27401474052762	0.109660934677771	0.17120484217558	"gene-114667"
"gene-30870"	-0.0565996024363021	-0.237922661536019	5.72950851156109	2.2730944953713	0.109756347130374	0.171328558366742	"gene-30870"
"gene-298721"	0.367861119310077	-2.02521883355607	4.03589063975326	2.27291090280048	0.109775392479098	0.171333047386732	"gene-298721"
"gene-333302"	-0.104139842967237	0.102347146920943	6.01363852629449	2.27232653166013	0.109836035974197	0.17137635211551	"gene-333302"
"gene-416687"	0.692092902815368	0.0724186947557502	9.01646778179094	2.27231563624632	0.109837166979062	0.17137635211551	"gene-416687"
"gene-327787"	-0.210179671982756	-0.0782358054975858	4.84536832479223	2.27204114067203	0.109865665095603	0.17137635211551	"gene-327787"
"gene-301164"	-1.03693460021083	-1.47900468747592	4.45470668666388	2.27202026095488	0.109867833137095	0.17137635211551	"gene-301164"
"gene-370806"	0.960539533093882	1.94999519649651	3.57196074344858	2.2707571101217	0.109999073817856	0.171555811918458	"gene-370806"
"gene-380525"	-0.121202618745713	0.734117644101812	5.18360487165227	2.26655971583513	0.110436336745963	0.172212424453308	"gene-380525"
"gene-399714"	0.538213283421374	-1.01217773504451	2.03775409456231	2.26634569120828	0.110458680436987	0.17222192141117	"gene-399714"
"gene-52214"	1.28501977742785	-0.812538494580408	5.70119789279482	2.26507361983806	0.11059157753627	0.172403759831443	"gene-52214"
"gene-287199"	-0.263393366563619	0.28935631515727	2.51384671566737	2.26396150561748	0.110707897779207	0.172534831278541	"gene-287199"
"gene-340174"	-0.416058043840783	-1.84429192230021	1.08922234056692	2.2639584096921	0.110708221768856	0.172534831278541	"gene-340174"
"gene-428756"	-0.197477402012094	1.03512194726531	-0.856858391944439	2.27664986404387	0.110851219484353	0.172732282596501	"gene-428756"
"gene-273241"	0.659275152875092	0.739536615110831	2.45702652608608	2.26228612255706	0.110883369389686	0.172756974276299	"gene-273241"
"gene-83083"	-0.133688214060943	-0.46945825463549	2.7254898686561	2.2611610112581	0.111001368237162	0.172915392214197	"gene-83083"
"gene-421620"	0.590382298023749	0.194964528084415	1.18920106062655	2.25839917261338	0.111291569308815	0.173341976833191	"gene-421620"
"gene-41333"	-0.946731412813602	-1.67912875566178	4.9338748444001	2.25812014751866	0.111320931202518	0.173356777377567	"gene-41333"
"gene-259880"	-0.269435443147544	0.304133527445051	2.09218326427135	2.25799794657299	0.111333792945861	0.173356777377567	"gene-259880"
"gene-179411"	-0.0765729884997038	-0.183388961991778	6.4049360527273	2.25605592738097	0.111538396639259	0.173649845840375	"gene-179411"
"gene-248732"	0.00663028407841136	0.27637045818421	4.27592339109208	2.25571125030763	0.111574750768991	0.173680925392717	"gene-248732"
"gene-398747"	-0.0211101795043365	0.141200949621981	5.87511056996055	2.25539832231678	0.111607766751805	0.173706800308773	"gene-398747"
"gene-427030"	0.405737478357462	-0.334934931482477	1.53573732314871	2.25461584561793	0.11169036710165	0.173809829609206	"gene-427030"
"gene-48895"	-0.290366918398374	-0.309206382124205	5.51844465326611	2.2539009829327	0.111765884736694	0.173901808321588	"gene-48895"
"gene-45738"	-0.157497157863227	-0.00269915611208985	5.39030095287987	2.25284134025035	0.111877921062015	0.174048180800584	"gene-45738"
"gene-316731"	0.0225062439496548	-0.31448932407117	2.56699574820102	2.25270060856372	0.111892809325555	0.174048180800584	"gene-316731"
"gene-78568"	-0.582338373603646	-0.967062092801178	4.32050099029353	2.2522751553001	0.111937831165496	0.174092655075531	"gene-78568"
"gene-286967"	0.0495489954218953	0.147211320127935	5.31227654287703	2.25169717982884	0.111999022804519	0.174150530575743	"gene-286967"
"gene-37556"	-0.389480005974924	-0.276656722263508	5.22799106673002	2.25161321833005	0.112007914861616	0.174150530575743	"gene-37556"
"gene-277775"	0.144596491390826	0.116577777075393	9.75850659399017	2.25048686716991	0.112127272648581	0.174297074035897	"gene-277775"
"gene-365648"	0.211141272243505	-0.0361600044890904	7.01703269790023	2.25038194348877	0.112138397897255	0.174297074035897	"gene-365648"
"gene-3086"	0.306135263782815	-0.720825364353593	0.795946818795994	2.25025825000833	0.112151514795842	0.174297074035897	"gene-3086"
"gene-299207"	-0.697415614747259	-1.0326195248624	7.63404243013441	2.24908927879043	0.112275554410487	0.174464257887303	"gene-299207"
"gene-65996"	0.618431359626166	0.893399638647181	4.97642170391244	2.24870981112838	0.112315849991628	0.174501282479661	"gene-65996"
"gene-252257"	-0.0795096064589307	-0.517819533814438	7.20143996318081	2.24851508436151	0.112336533738939	0.174507830449758	"gene-252257"
"gene-263801"	-0.173715872008767	-0.337691573056012	3.55183963477461	2.2466812601405	0.112531513051224	0.174785094149923	"gene-263801"
"gene-115589"	-0.209200149363258	0.296958532311316	2.46009445688009	2.24562470210948	0.112644007958548	0.174934179734541	"gene-115589"
"gene-192774"	-0.00669192054637987	0.179258065276286	4.95929491197747	2.24500708505043	0.112709820910208	0.175010735985428	"gene-192774"
"gene-399526"	0.936442662364577	0.671760970407655	0.0148262325499146	2.24413810101094	0.112802486178205	0.175128958761064	"gene-399526"
"gene-140468"	0.125113784362285	0.321833798599731	5.91256499386615	2.24390546262406	0.112827307137856	0.175141832175904	"gene-140468"
"gene-179493"	0.663824035083021	0.759316643976802	-0.822762509445473	2.24149910479855	0.113084378275649	0.175515170969499	"gene-179493"
"gene-357913"	-0.150130638752584	-0.115230278536868	5.49335197067722	2.24108789340448	0.113128368036995	0.175557731066197	"gene-357913"
"gene-409396"	0.0552335274465608	-0.202744477423831	6.72503911433958	2.23997203157599	0.113247826949046	0.175716672258992	"gene-409396"
"gene-238921"	-0.201131805756108	-0.225308564183506	5.64771216445017	2.23982146864049	0.11326395541043	0.175716672258992	"gene-238921"
"gene-405694"	0.414869668849374	0.774705152969873	2.64428734880662	2.23528524585699	0.113750986666781	0.176446414100601	"gene-405694"
"gene-218529"	-0.146023229002099	0.394280413784055	5.12661492962227	2.23487057613659	0.113795614659491	0.17648980282962	"gene-218529"
"gene-261647"	0.324001523247664	1.35345628492265	2.98601665871708	2.23415915082035	0.113872222210066	0.176582769872364	"gene-261647"
"gene-378262"	-0.782318369274071	-1.76664941450039	4.30110591642456	2.2326232802874	0.114037787895446	0.176813637772921	"gene-378262"
"gene-209428"	0.423313961916156	0.727512595320535	0.950105530779304	2.23188088591892	0.114117905937522	0.17688738647908	"gene-209428"
"gene-164898"	-0.0437173173223336	0.440403320949299	1.5425768728842	2.23187315578269	0.114118740465363	0.17688738647908	"gene-164898"
"gene-335917"	0.0910206057544993	-1.03126011078646	-0.354413378877987	2.22634470740975	0.114717184936293	0.177788985166734	"gene-335917"
"gene-420982"	-1.21503888600049	-0.222723053832141	2.98538269742087	2.22511917626367	0.114850281703738	0.177967217023939	"gene-420982"
"gene-212020"	0.155610947689235	0.204211153703043	5.69515747977093	2.22494812844973	0.114868870656784	0.177967217023939	"gene-212020"
"gene-32717"	-0.0486542746549469	0.235734354391048	4.60110531894071	2.22482204518403	0.114882574975816	0.177967217023939	"gene-32717"
"gene-271198"	0.839569153535271	-0.100774318501023	7.66343510644174	2.22408130453256	0.114963121879714	0.178065961034563	"gene-271198"
"gene-129720"	-0.329269695407883	0.0562507100481732	5.50790679070276	2.22235140882801	0.115151453500007	0.178331599135644	"gene-129720"
"gene-71954"	-0.498031835702145	-0.531918942231046	3.0372173115245	2.22139357281834	0.115255868001092	0.178446240145447	"gene-71954"
"gene-224697"	0.0769689554323339	-1.20261014848235	9.6313825939911	2.22136338137614	0.115259160773446	0.178446240145447	"gene-224697"
"gene-302507"	0.257052316404987	0.58395084749079	5.50207152368503	2.22077583752494	0.115323259339719	0.178519394589285	"gene-302507"
"gene-10933"	-0.201598079457487	-0.09371431125202	7.26233690682493	2.21977934675426	0.115432055891773	0.178661709644935	"gene-10933"
"gene-76593"	-0.4548960648715	-0.38296032279346	4.52907157381676	2.21775206083991	0.115653719367809	0.178978649104908	"gene-76593"
"gene-260693"	0.0355765960369796	2.63723030617778	3.33823328559888	2.21693114013415	0.115743602984426	0.179089985808246	"gene-260693"
"gene-281219"	0.350004568190365	0.472064728160447	1.36102258982876	2.21678631915193	0.115759467044232	0.179089985808246	"gene-281219"
"gene-368500"	-0.0611268090598924	-0.783787570183441	1.96252903065887	2.21306041219605	0.116168380014547	0.17969637293929	"gene-368500"
"gene-58292"	0.00152687215478739	-0.665498996150337	5.0594619395403	2.2093289334967	0.116579389328443	0.1803058253283	"gene-58292"
"gene-169144"	0.311913309761694	0.286744503777766	7.21993737066615	2.20810002712689	0.116715075274986	0.180481992849404	"gene-169144"
"gene-294346"	-0.130408663144781	-0.144382807645625	6.10617029149621	2.20798884499461	0.116727359097486	0.180481992849404	"gene-294346"
"gene-161305"	-0.121994484059422	-0.270879925772085	6.67152805481425	2.20712214846409	0.116823160472199	0.180603765445494	"gene-161305"
"gene-25754"	-0.491490604853895	-0.763329165406943	2.69255614189748	2.20573923207478	0.116976189864668	0.180813961751425	"gene-25754"
"gene-64900"	0.668643349397887	0.0586326185570394	3.8469610676654	2.204320494563	0.11713339676386	0.181030553108206	"gene-64900"
"gene-185778"	-0.505620020985235	-1.16589098471206	3.34389761356799	2.20152126399376	0.117444208602844	0.181484444269467	"gene-185778"
"gene-224079"	1.15638744742574	0.312662693352437	0.0207714172934779	2.19797682885774	0.117838977973258	0.182067922222899	"gene-224079"
"gene-115832"	-0.0417980134310281	0.296986579868752	2.81224505574667	2.19626029994113	0.118030649072361	0.182337477412267	"gene-115832"
"gene-194788"	0.722926316573855	0.731027886801081	0.0496913953084339	2.19374235016789	0.118312387127491	0.182746072012083	"gene-194788"
"gene-38337"	0.658912729369555	0.947145616616157	-1.04942881525791	2.19337623425957	0.11835340990867	0.182782791341244	"gene-38337"
"gene-92151"	-0.619176283924533	0.295521197717132	-0.635038712742482	2.19290294222494	0.118406463245739	0.18281490637827	"gene-92151"
"gene-90115"	-0.380928862299028	-0.378989509546861	2.55846771208039	2.19288289407126	0.118408711067768	0.18281490637827	"gene-90115"
"gene-23840"	-1.36270398228698	-1.12331139354711	3.47305452390901	2.1900748762916	0.118723981986565	0.183274958206534	"gene-23840"
"gene-221262"	-0.233227894310006	0.177808247838915	3.86308336591528	2.18830718672585	0.118922891218408	0.183526897650435	"gene-221262"
"gene-384626"	-0.0239853130856993	0.605646487427381	2.46728772903697	2.18817233529437	0.118938079396782	0.183526897650435	"gene-384626"
"gene-17583"	0.224121547282852	-1.33581525325789	4.57503294933332	2.18803526458986	0.118953519568333	0.183526897650435	"gene-17583"
"gene-90945"	-0.162882018509334	-1.46979776766336	5.88315476247692	2.18800909341379	0.118956467824008	0.183526897650435	"gene-90945"
"gene-9992"	-0.43494016799864	-0.463151667531026	2.19280605567616	2.18721854355707	0.119045560791997	0.183637612775077	"gene-9992"
"gene-255532"	-0.0121320720929878	0.371306728064232	3.00576692232428	2.18693799276839	0.119077194605266	0.183659673076768	"gene-255532"
"gene-111209"	-0.865276285458178	-0.67364495324428	0.662374535288441	2.18627222363923	0.119152298645058	0.183733299834897	"gene-111209"
"gene-48880"	0.135899520485531	-0.0708677535360678	6.37207844182393	2.1862074267632	0.11915961084045	0.183733299834897	"gene-48880"
"gene-353360"	-0.0889789359585182	0.133620393541487	4.72940744062167	2.18573713067117	0.119212696589543	0.183788408709849	"gene-353360"
"gene-125831"	-0.222019771360198	-0.103400071117239	5.87162013551728	2.18510575515719	0.119284002688034	0.183871587501078	"gene-125831"
"gene-117393"	0.49218133315792	0.80432294024445	-0.978183233205809	2.18462136245243	0.119338738537608	0.183929203424654	"gene-117393"
"gene-411101"	0.55413870224851	0.667534800422019	2.14155752507343	2.18294443925949	0.119528428062983	0.184194767852729	"gene-411101"
"gene-126281"	-0.400379759446355	0.841136491353201	1.50536555417987	2.18095544986422	0.119753818718326	0.184515262925605	"gene-126281"
"gene-260131"	0.0278498237971181	0.245851054749714	6.65661251816451	2.17818149789442	0.120068888771143	0.184973821666042	"gene-260131"
"gene-337342"	-0.488303883991687	-0.947464197627726	1.10221366568722	2.17715557979877	0.120185629483871	0.18512675243656	"gene-337342"
"gene-129632"	-0.0635509623062429	-0.682356184803256	1.42539870832104	2.17667479367163	0.120240378889821	0.185154720479156	"gene-129632"
"gene-356914"	0.244639014454255	-0.0937523822007825	4.60793692124586	2.1766033046394	0.120248521870501	0.185154720479156	"gene-356914"
"gene-281302"	-0.656878462861702	0.275972612216265	-1.26417546353463	2.17653582568276	0.120256208601128	0.185154720479156	"gene-281302"
"gene-264690"	-0.7206642760809	-0.924726501762792	-1.27511647103698	2.17436738729377	0.120503490408473	0.185508496929853	"gene-264690"
"gene-250391"	-0.187066293913069	-0.11193427826434	7.11298088511234	2.17222398159911	0.120748430078847	0.185858565531009	"gene-250391"
"gene-199128"	-0.304148332689506	-0.691239018283338	2.35214456612896	2.17126546040274	0.12085813114539	0.186000400525279	"gene-199128"
"gene-338634"	-0.183634278908195	0.585467471249026	3.10245003360447	2.16908023913437	0.121108608176341	0.186358816763943	"gene-338634"
"gene-357446"	0.192274182906373	0.313877100906262	2.11273595633676	2.16879042767995	0.121141867251757	0.186382928038278	"gene-357446"
"gene-104663"	-0.143184594917969	-0.32256005158734	6.1034986503326	2.16822175113596	0.121207156412425	0.186456305073469	"gene-104663"
"gene-58692"	0.0965617917908762	-0.122536114984685	5.69156055631521	2.16789404466229	0.121244796439338	0.186487133556572	"gene-58692"
"gene-72537"	-0.412904337143148	-0.55102512297917	2.50910197246638	2.1673727672346	0.121304694528202	0.186552183341195	"gene-72537"
"gene-69624"	-0.154571731528163	-0.198874359823694	7.93652446781631	2.16596256998615	0.121466887299594	0.186774508464156	"gene-69624"
"gene-64737"	-0.434019822068667	-0.0659021461082161	3.18056809797219	2.1654347842476	0.12152764735915	0.186840822898658	"gene-64737"
"gene-392752"	-0.230436506260233	-0.518813138534597	4.56122398131405	2.16374306483344	0.121722612637125	0.18711341991919	"gene-392752"
"gene-207009"	0.367929521087297	0.627876247373603	1.57092807317625	2.16166373958649	0.121962687770107	0.18745527119409	"gene-207009"
"gene-392926"	0.0638963606478212	-0.11869696962071	6.0816539284075	2.16086328710869	0.122055235968849	0.187570308966777	"gene-392926"
"gene-130946"	0.57083313073594	-0.0605042456612619	7.35586022553938	2.16045436160739	0.12210254366836	0.187615799406895	"gene-130946"
"gene-392099"	1.18638651121363	1.01791162935181	2.6187418629767	2.1584274896713	0.122337305815561	0.187949266698809	"gene-392099"
"gene-76564"	0.0687374388939049	-0.85183987881737	4.45421134754162	2.15715889117172	0.122484476539252	0.188121604339381	"gene-76564"
"gene-196055"	-0.411358153182429	-0.753377874181829	2.50292334714987	2.15715447255918	0.122484989461815	0.188121604339381	"gene-196055"
"gene-354923"	-0.287969544604514	0.0383973887446723	2.92631528285749	2.1558372217206	0.122637997183585	0.188306852538194	"gene-354923"
"gene-172464"	-0.0330782329933515	0.128492256383697	5.76201164383586	2.15581012595594	0.12264114659929	0.188306852538194	"gene-172464"
"gene-169425"	0.0495323611297744	-0.283097842952408	4.77172511527506	2.15448473252039	0.122795302051322	0.18850451935798	"gene-169425"
"gene-52839"	0.64369903954022	-1.03949274395224	5.46516626521845	2.1543974218888	0.122805464055128	0.18850451935798	"gene-52839"
"gene-416368"	-0.298938724479542	-1.38472005626769	4.97990750778129	2.15350823171685	0.122909005209961	0.188636126767778	"gene-416368"
"gene-349351"	-0.617123297633926	-0.751146450738181	6.0383206677377	2.15313782497044	0.122952163387631	0.188675035952981	"gene-349351"
"gene-182596"	0.412601414638638	0.711913861875574	0.596551828614393	2.15108645833561	0.123191461217458	0.189014874465709	"gene-182596"
"gene-159868"	0.112953599384095	0.224163971804331	5.45485843522861	2.15020885590411	0.123293981902716	0.189144785325203	"gene-159868"
"gene-57644"	-0.13151991818143	0.112128251251328	5.20385501677186	2.15005486142622	0.123311980413812	0.189145012227092	"gene-57644"
"gene-385037"	-0.626460750179683	-0.92475701754518	4.57472505341977	2.14921477822144	0.123410214812733	0.189268292973761	"gene-385037"
"gene-428852"	-1.01789032300055	-1.34269558740649	8.56033878464927	2.14862461637639	0.123479272866522	0.189346798161168	"gene-428852"
"gene-23689"	-0.216408983658649	1.10571701354941	1.82327392850525	2.14833523425415	0.123513149525517	0.189371340236199	"gene-23689"
"gene-285423"	0.0455476963919892	0.371269579501797	4.98692273590316	2.14765009816965	0.123593393318371	0.189466955382155	"gene-285423"
"gene-80728"	1.03408342595272	-0.368149812877673	10.2500552548613	2.14738103651132	0.123624920696224	0.189487872081179	"gene-80728"
"gene-299877"	-0.0494617929007558	-0.150902211806566	8.70244052037591	2.14487918679631	0.123918470865193	0.189910343836792	"gene-299877"
"gene-345222"	-0.245406280214726	-0.428723151455842	5.12052796485498	2.1428955253392	0.124151728364058	0.190221511793497	"gene-345222"
"gene-315482"	0.651896680138506	0.446526801441029	0.195955277954857	2.14284720796978	0.124157415587375	0.190221511793497	"gene-315482"
"gene-339487"	-0.389905394986811	-2.12579326533548	4.42767873005204	2.1426225626187	0.124183861104735	0.190234522519268	"gene-339487"
"gene-216225"	0.247951406562483	0.121322789856047	5.20426780461577	2.14155152842116	0.124310023972167	0.190400262215825	"gene-216225"
"gene-73647"	-0.431269568494098	0.490516316277969	0.310054583478889	2.14113322976994	0.124359333303628	0.190448257795237	"gene-73647"
"gene-408075"	0.0205141718181242	0.626137826330709	3.23433901262232	2.14023951472036	0.124464752269667	0.190582155353959	"gene-408075"
"gene-412553"	0.326645701690299	0.738580161984769	-0.200999819165825	2.13867433212327	0.124649595651892	0.190837612415467	"gene-412553"
"gene-64185"	0.204550921891415	0.962872583804977	-1.11404357263658	2.13836903122288	0.124685683575532	0.190865285057258	"gene-64185"
"gene-212529"	0.16065842771696	0.495952602543164	5.23145836088991	2.13724169724747	0.124819032321393	0.191038109474186	"gene-212529"
"gene-379411"	-0.069728699766923	0.379260070673278	4.79746439925067	2.13710981067274	0.124834642317786	0.191038109474186	"gene-379411"
"gene-249061"	-0.4182440471877	-0.0856269009501807	1.17757182341751	2.13580894505265	0.124988719108027	0.191246276919662	"gene-249061"
"gene-167685"	-0.285868956917024	0.134228993736399	4.98422049252443	2.13469256784624	0.125121100268056	0.191421192382374	"gene-167685"
"gene-284223"	-0.98158645532111	-1.93055403937449	5.43521695029653	2.13316032301349	0.125303029600693	0.19167184952345	"gene-284223"
"gene-11910"	-0.254898572391056	-0.569765352503064	5.62491043834058	2.13281604673808	0.12534394416219	0.191706759864688	"gene-11910"
"gene-234692"	-0.0866479953725736	0.0824019293670861	7.10690392445098	2.13202159441602	0.125438410946853	0.191823553527617	"gene-234692"
"gene-12281"	0.123941466342183	-0.118656754288156	7.40594730100042	2.1298111000355	0.125701640954353	0.192198353182153	"gene-12281"
"g11072"	0.778323676821364	0.799125806453226	1.10242429105793	2.12959915918295	0.125726909030749	0.192209252357498	"g11072"
"gene-362647"	0.340781125836353	-0.342736248190852	3.70282431882527	2.12893630834502	0.12580596926138	0.192302373094862	"gene-362647"
"gene-78616"	-0.100279502053545	-0.20908398200987	5.27106152067311	2.12601746945785	0.126154715077634	0.192807638967635	"gene-78616"
"gene-198187"	0.266847064805861	0.383860378273033	2.06024498457337	2.12506987070992	0.126268148197727	0.19295317252713	"gene-198187"
"gene-352352"	-0.491874578541104	-0.442374961616355	2.65725807245526	2.1235280753878	0.126452933731074	0.193207683606988	"gene-352352"
"gene-428461"	1.15645530083664	0.671556846323564	-0.98931003812613	2.11897845460139	0.126999828138225	0.194012087790154	"gene-428461"
"gene-49198"	0.0363760252995065	0.182626255467858	5.51628002498464	2.11884397845031	0.127016029916978	0.194012087790154	"gene-49198"
"gene-16667"	0.222706610389677	0.614528423870211	1.70812537724277	2.11752350511797	0.127175234094313	0.194227267290767	"gene-16667"
"gene-235415"	0.28386355121141	0.386401245401692	5.47748333274695	2.11644596211916	0.127305300767109	0.194397891184363	"gene-235415"
"gene-356782"	0.127619167547636	0.536046291301163	3.70982415110502	2.11586965312641	0.127374921117746	0.194476176392455	"gene-356782"
"gene-102364"	-0.275787473444488	-1.23715206584647	5.71063774497483	2.11551530483185	0.127417747143385	0.194513535330833	"gene-102364"
"gene-118055"	0.0342413565013819	0.402482814920441	3.81839970803225	2.11527047157532	0.127447345965168	0.194516063907862	"gene-118055"
"gene-131314"	0.282013301383289	0.558377043561076	-0.101254253684082	2.11516160018378	0.127460510105878	0.194516063907862	"gene-131314"
"gene-167418"	0.182680810072749	0.13088224578222	5.46310320304195	2.11504611059443	0.127474476007568	0.194516063907862	"gene-167418"
"gene-231148"	-0.441227217155275	-0.291478373875468	1.99838708120396	2.11271024583911	0.127757284109749	0.194919536706537	"gene-231148"
"gene-295520"	-0.0845286503127826	0.4364981766315	3.52810814060391	2.10806775991154	0.128321271612648	0.195751827527731	"gene-295520"
"g13352"	0.963196887232542	0.640204232730592	1.72963972914034	2.10703193898691	0.128447455255438	0.195900007056167	"g13352"
