geneID,sig_DE
gene-405804,0
gene-203299,0
gene-266297,0
gene-240397,0
gene-105433,0
gene-79630,0
gene-250221,0
gene-81518,0
gene-42667,0
gene-120154,0
gene-377320,0
gene-422274,0
gene-163988,0
gene-83755,0
gene-259602,0
gene-322154,0
gene-22,0
gene-204245,0
gene-5746,0
gene-189937,0
gene-269822,0
gene-93744,0
gene-14094,0
gene-396274,0
gene-231854,0
gene-88032,0
gene-32541,0
gene-361284,0
gene-61556,0
gene-226108,0
gene-354059,0
gene-327787,0
gene-221504,0
gene-223599,0
gene-366101,0
gene-335244,0
gene-295900,0
gene-214991,0
gene-391966,0
gene-86457,0
gene-418688,0
gene-362239,0
gene-269058,0
gene-196553,0
gene-223088,0
gene-326439,0
gene-396247,0
gene-226254,0
gene-87433,0
gene-125867,0
gene-363089,0
gene-5642,0
gene-152204,0
gene-363133,0
gene-417468,0
gene-162653,0
gene-73742,0
gene-152706,0
gene-367982,0
gene-304744,0
gene-296474,0
gene-429680,0
gene-297013,0
gene-350386,0
gene-231613,0
gene-241262,0
gene-271117,0
gene-81581,0
gene-3950,0
gene-429707,0
gene-174585,0
gene-260131,0
gene-297835,0
gene-174790,0
gene-287400,0
gene-199393,0
gene-180043,0
gene-54550,0
g11517,0
gene-353664,0
gene-406510,0
gene-392986,0
gene-120660,0
gene-53163,0
gene-124680,0
gene-265224,0
gene-287828,0
gene-172388,0
gene-195592,0
gene-83764,0
gene-417432,0
gene-414380,0
gene-266509,0
gene-345135,0
gene-286967,0
gene-331746,0
gene-328923,0
gene-283473,0
gene-283588,0
gene-408949,0
gene-335527,0
gene-280460,0
gene-67275,0
gene-346833,0
gene-81418,0
gene-117718,0
gene-131482,0
gene-219328,0
gene-287262,0
gene-104695,0
gene-62605,0
gene-64197,0
gene-26305,0
gene-30358,0
gene-4295,0
gene-217443,0
gene-118985,0
gene-266309,0
gene-327116,0
gene-54493,0
gene-409737,0
gene-351946,0
gene-405508,0
gene-336661,0
gene-223758,0
gene-283732,0
gene-282611,0
gene-81476,0
gene-357383,0
gene-80415,0
gene-333525,0
gene-311303,0
gene-302352,0
gene-2814,0
gene-292535,0
gene-288972,0
gene-124178,0
gene-84577,0
